Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
msft,meta,msft,meta,msft,meta,msft,meta,msft,meta,msft,meta
240.74000549316406,138.61000061035156,240.74000549316406,138.61000061035156,241.61000061035156,139.6199951171875,234.66000366210938,136.10000610351562,235.41000366210938,137.13999938964844,28880400,27723100
248.8800048828125,140.27999877929688,248.8800048828125,140.27999877929688,250.36000061035156,142.38999938964844,244.97999572753906,139.33999633789062,245.08999633789062,140.49000549316406,34888400,34670700
249.1999969482422,138.97999572753906,249.1999969482422,138.97999572753906,250.5800018310547,140.2100067138672,244.10000610351562,134.77999877929688,245.99000549316406,138.24000549316406,20347100,27979300
246.7899932861328,139.07000732421875,246.7899932861328,139.07000732421875,250.33999633789062,141.4499969482422,246.0800018310547,136.60000610351562,247.92999267578125,137.72000122070312,20239900,36231100
234.24000549316406,133.4499969482422,234.24000549316406,133.4499969482422,241.32000732421875,138.2899932861328,233.1699981689453,132.44000244140625,240.89999389648438,136.75999450683594,37732400,33179700
229.25,133.7899932861328,229.25,133.7899932861328,234.55999755859375,136.11000061035156,226.72999572753906,131.8699951171875,233.0500030517578,133.5500030517578,29743600,24024000
225.41000366210938,128.5399932861328,225.41000366210938,128.5399932861328,229.05999755859375,132.66000366210938,224.11000061035156,126.98999786376953,227.6199951171875,131.6199951171875,30474000,38481400
225.75,127.5,225.75,127.5,227.86000061035156,129.6699981689453,223.9600067138672,126.25,225.39999389648438,128.32000732421875,21903900,34605200
